id,text,reviewer1_sentiment
seed_071_30,קיבלתי offer אחרי ה-onsite וזה הרגיש totally like a huge achievement.,positive
seed_085_30,"ה-owner של ה-ticket הזה לא clear, כל אחד חושב שזה מישהו אחר.",negative
seed_087_100,The build failed because of a dependency that changed without us knowing.,negative
seed_020_60,Nobody set up his dev environment ו-he sat without access for two full days.,negative
seed_016_0,התקלה נפתרה מהר בזכות הצוות שהגיב תוך דקות.,positive
seed_007_60,The meeting נמשכה two hours ו-literally nothing concrete came out of it.,negative
seed_105_0,הבונוס השנה היה נמוך משמעותית מהציפיות של הצוות.,negative
seed_031_30,סגרנו את כל ה-tasks ב-sprint וגם ה-velocity שלנו totally השתפר.,positive
seed_026_0,סקירת הקוד עברה מהר וקיבלתי הערות ממש מועילות.,positive
seed_079_0,תן לי אפדייט על הטיקט הזה.,neutral
seed_004_0,סוף סוף הצלחנו לעשות דיפלוי אוטומטי בלי התערבות ידנית.,positive
seed_094_60,We set up a separate container לeach service ו-it made the deployment much easier.,positive
seed_040_100,"The main goal was achieved earlier than expected, that's a really nice achievement.",positive
seed_001_100,"The deployment to production went smoothly, with zero issues.",positive
seed_087_0,הבילד נכשל בגלל תלות שהשתנתה בלי שידענו.,negative
seed_050_100,The move to microservices significantly reduced the time it takes to ship a feature.,positive
seed_077_30,ה-deadline הזה totally unrealistic מלכתחילה ולא נספיק.,negative
seed_088_100,The release went out on time and without any known bugs.,positive
seed_072_60,The first screening was really unorganized ו-it took two weeks to get an answer.,negative
seed_051_0,האנדפוינט החדש עולה בסוף השבוע.,neutral
seed_007_30,ה-meeting נמשכה שעתיים ו-literally לא יצא ממנה שום דבר concrete.,negative
seed_021_60,The new employee starts השבוע and will go through training עם the team.,neutral
seed_085_60,"The owner של this ticket isn't clear, everyone thinks it's someone else.",negative
seed_017_100,We're investigating the root cause of yesterday's incident.,neutral
seed_011_60,Finally a meeting שבה everyone actually listened to each other ו-we reached an agreement.,positive
seed_013_60,We have a critical bug ב-production ו-the system crashes every few minutes.,negative
seed_102_60,The model is limited ל-a certain number of tokens בevery request.,neutral
seed_091_0,הריפקטור לקח הרבה יותר זמן ממה שתכננו וכמעט שבר הכול.,negative
seed_077_60,This deadline is totally unrealistic from the start ו-we're not going to make it.,negative
seed_074_100,I got a promotion to the next level after a year of hard work.,positive
seed_005_30,ה-next deployment מתוכנן ליום שלישי בבוקר.,neutral
seed_015_30,ה-incident נמשכה כל הלילה ו-customers התלוננו totally בלי הפסקה.,negative
seed_049_0,הפוד קרס שוב והקלאסטר לא הצליח להרים אותו מחדש.,negative
seed_048_0,מישהו דחף ישר לברנצ' הראשי בלי לעשות פול ריקווסט.,negative
seed_024_60,Thanks to the mentor he already understood the whole architecture תוך a week.,positive
seed_071_0,קיבלתי אופר אחרי האונסייט וזה הרגיש כמו הישג ענק.,positive
seed_080_100,This ticket has been sitting in the backlog for two weeks and nobody's touched it.,negative
seed_005_60,The next deployment is planned ליום שלישי in the morning.,neutral
seed_053_30,הוספנו cache וזמן ה-response של ה-client ירד dramatically.,positive
seed_104_0,קיבלתי בונוס יפה בסוף השנה על התרומה שלי לפרויקט.,positive
seed_019_0,"הקליטה של העובד החדש הלכה ממש חלק, הוא כבר תרם קוד ביום השלישי.",positive
seed_008_60,The meeting this time was totally focused ו-we finished on time עם clear decisions.,positive
seed_040_60,"The main goal was achieved earlier מ-expected, that's a really nice achievement.",positive
seed_023_60,"Our onboarding process is totally messy, everyone explains לו something different.",negative
seed_019_100,The new employee's onboarding went totally smoothly — he already contributed code by day three.,positive
seed_010_30,זימנו אותי לעוד meeting שיכלה literally להיות an email.,negative
seed_047_60,The merge went smoothly בלי any conflict.,positive
seed_012_100,"The meeting got canceled at the last minute, for the third time this month.",negative
seed_056_0,הוספנו אינדקס לטבלה והקוורי שהיה איטי הפך למהיר פי עשר.,positive
seed_012_30,"ה-meeting בוטלה ברגע האחרון, ה-third time החודש.",negative
seed_065_100,The model runs inference with a response time of a few hundred milliseconds.,neutral
seed_092_100,I wasted the whole morning debugging an issue that turned out to be trivial.,negative
seed_089_0,עשיתי פיקס מהיר לבאג הקריטי תוך עשר דקות.,positive
seed_036_0,אספנו את כל המשימות הפתוחות לספרינט הבא.,neutral
seed_024_100,"Thanks to the mentor, he already understood the whole architecture within a week.",positive
seed_067_60,The prompt didn't work well ו-the model returned irrelevant answers.,negative
